"Step","medium_openwebtext_v2 - decoder_val_loss","medium_openwebtext_v2 - decoder_val_loss__MIN","medium_openwebtext_v2 - decoder_val_loss__MAX"
"500","8.677385330200195","8.677385330200195","8.677385330200195"
"1000","7.004509706497192","7.004509706497192","7.004509706497192"
"1500","6.58981240272522","6.58981240272522","6.58981240272522"
"2000","6.363088855743408","6.363088855743408","6.363088855743408"
"2500","6.171153984069824","6.171153984069824","6.171153984069824"
"3000","6.065779962539673","6.065779962539673","6.065779962539673"
"3500","5.926479911804199","5.926479911804199","5.926479911804199"
"4000","5.894255809783935","5.894255809783935","5.894255809783935"
"4500","5.8455929183959965","5.8455929183959965","5.8455929183959965"
"5000","5.7865132808685305","5.7865132808685305","5.7865132808685305"
"5500","5.740394706726074","5.740394706726074","5.740394706726074"
"6000","5.66489091873169","5.66489091873169","5.66489091873169"
"6500","5.6499267673492435","5.6499267673492435","5.6499267673492435"
"7000","5.619207992553711","5.619207992553711","5.619207992553711"
"7500","5.570669269561767","5.570669269561767","5.570669269561767"
"8000","5.546881313323975","5.546881313323975","5.546881313323975"
"8500","5.513628339767456","5.513628339767456","5.513628339767456"
"9000","5.454348783493042","5.454348783493042","5.454348783493042"
"9500","5.458367910385132","5.458367910385132","5.458367910385132"
"10000","5.469881916046143","5.469881916046143","5.469881916046143"
"10500","5.4366798591613765","5.4366798591613765","5.4366798591613765"
"11000","5.405056419372559","5.405056419372559","5.405056419372559"
"11500","5.384636945724488","5.384636945724488","5.384636945724488"
"12000","5.392349720001221","5.392349720001221","5.392349720001221"
"12500","5.337262992858887","5.337262992858887","5.337262992858887"
"13000","5.373957633972168","5.373957633972168","5.373957633972168"
"13500","5.315664539337158","5.315664539337158","5.315664539337158"
"14000","5.33702465057373","5.33702465057373","5.33702465057373"
"14500","5.273534564971924","5.273534564971924","5.273534564971924"
"15000","5.257113094329834","5.257113094329834","5.257113094329834"
"15500","5.262803297042847","5.262803297042847","5.262803297042847"
"16000","5.239198341369629","5.239198341369629","5.239198341369629"
"16500","5.2141312313079835","5.2141312313079835","5.2141312313079835"
"17000","5.2052537631988525","5.2052537631988525","5.2052537631988525"
"17500","5.21272087097168","5.21272087097168","5.21272087097168"
"18000","5.186591510772705","5.186591510772705","5.186591510772705"
"18500","5.133668918609619","5.133668918609619","5.133668918609619"
"19000","5.180869159698486","5.180869159698486","5.180869159698486"
"19500","5.181114540100098","5.181114540100098","5.181114540100098"
"20000","5.135954275131225","5.135954275131225","5.135954275131225"
"20500","5.131316776275635","5.131316776275635","5.131316776275635"
