"Step","medium_openwebtext_v2 - decoder_train_loss","medium_openwebtext_v2 - decoder_train_loss__MIN","medium_openwebtext_v2 - decoder_train_loss__MAX"
"500","9.725387840270995","9.725387840270995","9.725387840270995"
"1000","7.652933812141418","7.652933812141418","7.652933812141418"
"1500","6.780404614448547","6.780404614448547","6.780404614448547"
"2000","6.466443120002746","6.466443120002746","6.466443120002746"
"2500","6.2452476081848145","6.2452476081848145","6.2452476081848145"
"3000","6.106427716255188","6.106427716255188","6.106427716255188"
"3500","6.013043011665344","6.013043011665344","6.013043011665344"
"4000","5.919214682579041","5.919214682579041","5.919214682579041"
"4500","5.849369352340698","5.849369352340698","5.849369352340698"
"5000","5.80189461517334","5.80189461517334","5.80189461517334"
"5500","5.751855093955994","5.751855093955994","5.751855093955994"
"6000","5.701254566192627","5.701254566192627","5.701254566192627"
"6500","5.656951070785523","5.656951070785523","5.656951070785523"
"7000","5.616131043434143","5.616131043434143","5.616131043434143"
"7500","5.595205689430236","5.595205689430236","5.595205689430236"
"8000","5.553101263999939","5.553101263999939","5.553101263999939"
"8500","5.529779413223267","5.529779413223267","5.529779413223267"
"9000","5.498848938941956","5.498848938941956","5.498848938941956"
"9500","5.4698425388336185","5.4698425388336185","5.4698425388336185"
"10000","5.45418687915802","5.45418687915802","5.45418687915802"
"10500","5.426733502388","5.426733502388","5.426733502388"
"11000","5.413182008743286","5.413182008743286","5.413182008743286"
"11500","5.390768202781677","5.390768202781677","5.390768202781677"
"12000","5.374692207336426","5.374692207336426","5.374692207336426"
"12500","5.344057666778564","5.344057666778564","5.344057666778564"
"13000","5.32664454460144","5.32664454460144","5.32664454460144"
"13500","5.3211620950698855","5.3211620950698855","5.3211620950698855"
"14000","5.304177312850952","5.304177312850952","5.304177312850952"
"14500","5.277723606109619","5.277723606109619","5.277723606109619"
"15000","5.2584271945953365","5.2584271945953365","5.2584271945953365"
"15500","5.255605725288391","5.255605725288391","5.255605725288391"
"16000","5.244077902793884","5.244077902793884","5.244077902793884"
"16500","5.2309605512619015","5.2309605512619015","5.2309605512619015"
"17000","5.217637476921081","5.217637476921081","5.217637476921081"
"17500","5.202057090759277","5.202057090759277","5.202057090759277"
"18000","5.186846292495727","5.186846292495727","5.186846292495727"
"18500","5.181124022483826","5.181124022483826","5.181124022483826"
"19000","5.166761962890625","5.166761962890625","5.166761962890625"
"19500","5.160533020973205","5.160533020973205","5.160533020973205"
"20000","5.135303483009339","5.135303483009339","5.135303483009339"
"20500","5.132163329124451","5.132163329124451","5.132163329124451"
"21000","5.126007626533508","5.126007626533508","5.126007626533508"
"21500","5.124524596214294","5.124524596214294","5.124524596214294"
"22000","5.099928937911987","5.099928937911987","5.099928937911987"
"22500","5.094575780868531","5.094575780868531","5.094575780868531"
"23000","5.086105876922607","5.086105876922607","5.086105876922607"
"23500","5.070500332832337","5.070500332832337","5.070500332832337"
"24000","5.064132982254028","5.064132982254028","5.064132982254028"
"24500","5.056203568458558","5.056203568458558","5.056203568458558"
"25000","5.056981945037842","5.056981945037842","5.056981945037842"
"25500","5.051861371994018","5.051861371994018","5.051861371994018"
"26000","5.042525030136108","5.042525030136108","5.042525030136108"
"26500","5.031390920639038","5.031390920639038","5.031390920639038"
"27000","5.019461212158203","5.019461212158203","5.019461212158203"
"27500","5.010958105087281","5.010958105087281","5.010958105087281"
"28000","5.008306170463562","5.008306170463562","5.008306170463562"
"28500","5.011178521156311","5.011178521156311","5.011178521156311"
"29000","4.996441693305969","4.996441693305969","4.996441693305969"
"29500","4.988181922912598","4.988181922912598","4.988181922912598"
"30000","4.992916642189026","4.992916642189026","4.992916642189026"
"30500","4.973849954605103","4.973849954605103","4.973849954605103"
"31000","4.972021643638611","4.972021643638611","4.972021643638611"
"31500","4.961341517448425","4.961341517448425","4.961341517448425"
"32000","4.954517355918885","4.954517355918885","4.954517355918885"
"32500","4.954865131378174","4.954865131378174","4.954865131378174"
"33000","4.954218909263611","4.954218909263611","4.954218909263611"
"33500","4.948162696838379","4.948162696838379","4.948162696838379"
"34000","4.940287049293518","4.940287049293518","4.940287049293518"
"34500","4.937976968765259","4.937976968765259","4.937976968765259"
"35000","4.9295457162857055","4.9295457162857055","4.9295457162857055"
"35500","4.935930899620056","4.935930899620056","4.935930899620056"
"36000","4.922068058013916","4.922068058013916","4.922068058013916"
"36500","4.9103240442276","4.9103240442276","4.9103240442276"
"37000","4.903540929794311","4.903540929794311","4.903540929794311"
"37500","4.906838008880615","4.906838008880615","4.906838008880615"
"38000","4.902974102973938","4.902974102973938","4.902974102973938"
"38500","4.902145805358887","4.902145805358887","4.902145805358887"
"39000","4.905044337272644","4.905044337272644","4.905044337272644"
"39500","4.885210350990295","4.885210350990295","4.885210350990295"
"40000","4.878313000679016","4.878313000679016","4.878313000679016"
"40500","4.888984708786011","4.888984708786011","4.888984708786011"
"41000","4.879671926498413","4.879671926498413","4.879671926498413"
"41500","4.88144831943512","4.88144831943512","4.88144831943512"
"42000","4.870361471176148","4.870361471176148","4.870361471176148"
"42500","4.874607063293457","4.874607063293457","4.874607063293457"
"43000","4.871325192451477","4.871325192451477","4.871325192451477"
"43500","4.874730532646179","4.874730532646179","4.874730532646179"
"44000","4.860109452247619","4.860109452247619","4.860109452247619"
"44500","4.861618143081665","4.861618143081665","4.861618143081665"
"45000","4.85716424369812","4.85716424369812","4.85716424369812"
